,Year,Season,SeasVis,MedGas,MedGoogle,GoogStag,Winter,Fall,Summer,Spring,Overnight,MedCCI,GasStag,CCIStag
1,2008,Fall,325697,3.112,43,35,0,1,0,0,59441,96.97441,4.105,96.99389
2,2008,Spring,551426,3.507,53,50,0,0,0,1,104625,97.28801,3,98.28046
3,2008,Summer,191048,4.105,35,53,0,0,1,0,11492,96.99389,3.507,97.28801
4,2009,Fall,325180,2.609,40,37,0,1,0,0,72855,98.08765,2.67,97.88111
5,2009,Spring,472494,2.102,50,50,0,0,0,1,109570,97.33988,1.975,96.7187
6,2009,Summer,207547,2.67,37,50,0,0,1,0,17915,97.88111,2.102,97.33988
7,2009,Winter,299250,1.975,47,40,1,0,0,0,65886,96.7187,3.112,96.97441
8,2010,Fall,333347,2.853,41,33,0,1,0,0,83305,97.96348,2.783,98.08856
9,2010,Spring,528798,2.89,49,47,0,0,0,1,121990,98.467,2.769,98.46816
10,2010,Summer,229162,2.783,33,49,0,0,1,0,18998,98.08856,2.89,98.467
11,2010,Winter,343669,2.769,45,41,1,0,0,0,63472,98.46816,2.609,98.08765
12,2011,Fall,309577,3.506,37,35,0,1,0,0,74280,97.00771,3.705,97.33338
13,2011,Spring,513922,3.852,48,45,0,0,0,1,116081,98.22705,3.264,98.52698
14,2011,Summer,221210,3.705,35,48,0,0,1,0,22561,97.33338,3.852,98.22705
15,2011,Winter,351528,3.264,43,37,1,0,0,0,68622,98.52698,2.853,97.96348
16,2012,Fall,329070,3.812,37,30,0,1,0,0,82577,99.16354,3.596,98.60784
17,2012,Spring,481617,3.907,47,43,0,0,0,1,117434,98.83382,3.44,98.70954
18,2012,Summer,215756,3.596,30,47,0,0,1,0,19184,98.60784,3.907,98.83382
19,2012,Winter,369674,3.44,47,37,1,0,0,0,79687,98.70954,3.506,97.00771
20,2013,Fall,247266,3.42,37,31,0,1,0,0,69220,98.86088,3.661,99.65983
21,2013,Spring,521055,3.675,51,47,0,0,0,1,136209,99.1832,3.391,98.80344
22,2013,Summer,241285,3.661,31,51,0,0,1,0,15878,99.65983,3.675,99.1832
23,2013,Winter,373734,3.391,46,37,1,0,0,0,89383,98.80344,3.812,99.16354
24,2014,Fall,397630,3.255,37,34,0,1,0,0,95872,100.0543,3.688,99.47433
25,2014,Spring,508949,3.735,47,46,0,0,0,1,129392,99.50082,3.392,99.40892
26,2014,Summer,249643,3.688,34,47,0,0,1,0,24931,99.47433,3.735,99.50082
27,2014,Winter,433682,3.392,46,37,1,0,0,0,95665,99.40892,3.42,98.86088
28,2015,Fall,486851,2.387,42,38,0,1,0,0,102497,100.4033,2.88,100.7341
29,2015,Spring,650850,2.555,49,46,0,0,0,1,135985,100.9149,2.208,101.0638
30,2015,Summer,320258,2.88,38,49,0,0,1,0,29224,100.7341,2.555,100.9149
31,2015,Winter,567797,2.208,49,42,1,0,0,0,117656,101.0638,3.255,100.0543
32,2016,Fall,625591,2.327,54,43,0,1,0,0,97853,100.4803,2.345,100.5284
33,2016,Spring,790409,2.216,54,49,0,0,0,1,150982,100.5748,2.057,100.6298
34,2016,Summer,408231,2.345,43,54,0,0,1,0,26839,100.5284,2.216,100.5748
35,2016,Winter,681055,2.057,57,54,1,0,0,0,121866,100.6298,2.387,100.4033
36,2017,Fall,687862,2.678,68,66,0,1,0,0,109544,101.3534,2.46,101.0344
37,2017,Spring,988289,2.503,70,57,0,0,0,1,156363,101.2115,2.458,101.2821
38,2017,Summer,392807,2.46,66,70,0,0,1,0,30583,101.0344,2.503,101.2115
39,2017,Winter,784661,2.458,69,68,1,0,0,0,123820,101.2821,2.327,100.4803